FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
-218.60555,-603.8729,123.85124
-180.91078,-249.92836,132.19398
-337.99005,-1647.1865,149.21538
-111.61644,-1340.187,152.88225
276.72986,3464.3718,109.644714
16.4591,-1905.6357,161.97878
-229.01817,324.39548,119.4286
-191.28397,-2437.738,145.25189
-235.56306,-1184.0533,124.83803
-15.021543,60.09794,144.79361
-149.10713,-1909.7334,144.17668
143.2189,2780.7307,91.438225
-40.233574,-279.40762,134.06967
-97.43074,-1350.8059,137.8979
-147.05516,-464.33206,137.97864
-168.66798,-3276.2566,138.87993
-192.56682,-699.4425,121.97165
-298.5583,-203.51393,115.69881
103.32549,-1190.605,154.95047
-70.05578,-1259.5088,148.89995
-158.60406,-1376.5481,137.90904
123.32134,3169.8494,126.96006
88.555595,901.368,125.11473
20.343073,177.50603,143.54776
-173.73947,-1663.5681,149.78946
-182.95688,433.95883,121.62869
-7.952899,3148.2078,72.61299
-244.35161,-1989.7422,125.996254
-138.90863,-1838.105,161.15028
121.896904,1131.9822,113.81019
-65.60961,486.18872,142.42285
-310.85474,-639.0835,128.5951
-76.702034,-237.21632,150.6087
-33.249268,1923.0824,129.53087
-114.9545,-639.2567,130.98183
-276.54733,-1083.4153,112.885284
-292.41656,-3148.5234,131.43391
-238.57889,-1444.8899,126.812
-53.05959,-842.28345,160.9452
-78.930725,-556.5165,145.21811
-104.24266,-44.14486,137.73616
-122.42319,-675.4159,127.79055
-153.10033,-1942.9583,141.157
-56.827618,93.51206,135.49889
-99.21196,640.26074,127.54409
280.96252,449.94702,142.83716
-154.65692,530.56793,86.441315
-316.19675,-1938.4275,143.22842
-227.0953,-8.3569565,116.675606
-112.0482,800.1418,99.68987
118.26168,1104.5686,130.41437
-4.7828264,-427.86136,139.74802
-112.31702,-1821.863,143.3216
-76.541405,612.6669,142.46524
9.351509,-453.77737,138.63867
-71.095024,-856.44775,146.66003
263.32358,3367.6353,149.95157
-178.35732,-939.5277,132.7904
-158.11124,1366.6445,103.66943
17.008204,1233.096,120.357185
4.0519934,1010.38684,121.64949
-112.22124,-303.32657,132.33797
-35.43064,1160.3024,124.622025
-62.924076,-266.91263,127.5614
-197.00992,-1126.3226,136.84995
-181.13968,-671.8557,130.99174
-41.836246,3452.2324,70.35528
108.1378,209.22594,152.31714
-218.76657,-79.19436,122.66713
-120.91339,-712.0282,147.61
2.3661308,-294.69986,154.99675
85.54165,4040.881,94.65606
-3.4233904,2498.0093,98.27856
240.65828,2435.318,99.70991
72.87737,3589.4692,97.02781
-168.88817,-1646.4011,137.12834
-133.19044,-764.9402,123.587074
-147.2331,-2205.7256,125.694
-250.22215,-2802.135,106.00431
-75.609024,469.34042,135.50609
217.57132,1859.8506,132.84155
-251.24818,-1151.125,120.21858
-6.7676535,-220.27785,150.39188
-283.03235,-2464.6262,126.48116
3.1516523,530.8322,130.13097
-186.29185,-1700.8914,145.81238
-148.74948,-1525.666,145.20703
-209.20396,2576.7102,98.672966
107.051926,-333.28983,135.992
-100.76516,-1077.1833,129.32281
263.65622,2217.6426,125.79269
-114.92081,1487.014,104.56722
-80.80185,239.46782,141.9541
-316.482,-1699.0166,125.55348
-193.59398,738.9042,105.563385
-151.12888,947.95917,115.186386
22.783531,940.91833,118.21222
-107.62637,-225.6587,128.1318
247.101,2967.0635,135.85475
-19.208063,-1130.5206,166.77364
62.525177,-861.0128,156.48425
18.613989,-451.20523,144.71027
-117.30203,-659.6808,156.69019
-37.403698,203.01347,129.35912
-167.69275,-347.16617,129.47464
-88.46726,1225.1724,106.32218
-101.28997,-1686.948,127.22727
-54.2055,1454.8162,125.844055
-94.25656,50.667274,113.10347
-284.7573,-2652.6147,128.72292
-12.42953,999.48517,133.42892
-65.87135,-2370.8347,148.91228
267.9468,2942.1443,122.87163
209.2783,238.12505,150.95634
-272.73135,-1937.8225,131.5591
-63.564068,650.55176,121.17062
-170.42622,-38.911644,130.95279
-162.7235,-777.4011,136.28795
-74.17864,87.76737,146.41457
237.61926,4090.323,112.914
-182.024,-2565.7412,138.48425
-117.16614,1260.3829,94.319405
53.560375,2737.5977,126.49071
9.089316,1411.3652,109.75527
-165.30293,-1165.7551,133.66805
123.50356,2349.9133,110.88537
-35.586536,-801.713,145.08469
-128.28322,-532.3849,147.42894
-262.88873,-1657.9187,131.90714
-356.32037,-1528.1582,125.01369
-309.8593,-2654.6458,119.54376
-41.116768,392.1518,126.24349
-223.47115,-542.1531,123.87883
-310.7798,-2056.1372,124.04257
-96.99231,-1058.3351,150.84833
-222.51399,-2139.1772,127.20402
107.64071,2344.3235,117.10753
-147.07861,-2382.3455,161.86441
-41.537582,772.50275,129.63947
-273.70016,-2705.977,124.20687
-190.61389,-669.07886,125.03504
-215.83192,465.58853,114.16811
-129.07724,470.7468,134.78757
-12.165862,1779.0023,99.857925
69.685684,62.88804,162.30505
177.40518,1757.631,126.64989
156.89638,1208.5642,134.03893
-144.83067,-842.75793,140.2254
-72.4819,1856.4075,119.956894
-247.80565,-1333.2468,121.93229
124.91904,3648.776,98.30206
-196.46236,-1890.7378,138.94331
-102.20653,426.11102,107.00049
-73.16988,-3158.0369,154.79129
-261.00427,-666.84155,135.10077
184.67702,1283.0989,144.09663
23.644316,627.13446,137.69858
22.461445,3071.8853,116.47866
130.87048,883.669,117.1701
-311.29367,-880.9446,117.538315
-32.335304,-1688.8088,154.626
-319.6145,-753.45935,95.109055
-139.15993,-36.38662,130.38878
10.263961,-187.92592,106.81519
-188.57799,34.715126,124.968056
74.38976,4708.924,69.08149
-78.96284,-417.81717,143.74493
-46.06506,-107.94686,148.09882
-291.9134,-2252.3154,127.74019
-152.03323,-1121.8481,127.44088
-246.0848,-1252.2214,115.49444
-181.30232,-1974.2869,132.7323
-204.1734,-25.319786,127.736305
-346.87848,-835.8773,115.27559
-277.0776,-3086.6274,143.55363
-304.87564,-1620.8315,117.17277
102.684296,-125.510765,162.87222
-158.51033,1055.0768,129.51924
-146.77832,1579.8234,101.060486
-261.18405,-1476.5256,133.86533
-129.24525,-1041.6372,142.73346
-259.8921,-738.12415,135.25528
-49.85674,3420.572,97.62345
-63.25606,496.70786,141.1369
-176.65454,-1201.3086,130.0666
-212.12825,-17.524254,116.365715
-144.42578,300.36478,138.586
-148.04599,-1019.495,146.49777
-69.277176,37.966835,127.78131
-242.24852,-1173.03,148.06987
-101.785545,287.47818,125.89538
-169.73744,-2258.8025,145.91345
-407.79272,-2676.7944,120.84761
-181.58618,116.92802,117.76726
-60.403164,-185.12758,143.18484
-239.21764,-1612.7588,129.87834
-178.94913,-1367.6101,119.29126
213.70996,1431.3967,148.74356
-113.88428,-2359.8862,152.44743
-345.29373,-221.42128,112.38611
-1.443656,973.27136,145.67696
-81.97461,-278.97403,142.03691
-101.716965,199.28459,135.97595
255.27853,3154.763,124.35842
-74.38458,-102.81069,144.24133
-172.04977,749.568,118.53429
-121.72769,56.990517,127.12343
-16.574255,612.98303,127.620926
-471.9397,-1732.2263,119.71496
11.698419,633.2545,161.68898
-120.78487,-1152.9387,127.43703
-257.1359,-94.18563,128.31766
-50.981777,-336.27298,133.90424
-202.5151,-3302.6868,146.86472
-131.10048,-2312.353,138.21089
-122.79199,640.457,117.75622
34.796932,474.77765,141.89854
94.491066,842.22095,108.00553
-106.97815,1194.6732,127.692764
-79.793686,-1138.2178,139.77953
-223.93996,-2300.1375,145.1476
-335.93753,-2366.1086,126.616394
114.625626,604.4905,163.50027
-47.310642,680.5939,130.91678
59.70472,954.387,105.05637
-209.71346,42.59446,98.30809
-367.1618,750.2475,111.26768
104.76365,-780.386,135.86922
-113.03697,-1817.458,142.5332
-60.742977,-577.01404,150.3237
-51.1878,1631.5581,118.1606
169.04709,-610.9968,148.69577
-322.25128,-6.4241557,122.17613
43.970955,834.0571,149.12872
-373.15976,-3536.8308,140.05756
54.487488,725.5194,132.34546
542.73,3209.9448,120.51444
-70.02924,-604.5006,136.54546
-439.80264,-1833.4153,112.37399
-245.4232,624.2775,93.82317
209.47647,3834.867,109.87666
-52.864956,823.877,149.45818
-26.10523,588.28406,132.2309
-41.573933,2054.5085,127.4203
-124.665085,-1784.9656,145.43558
-80.977615,241.23436,124.757484
-56.809765,-728.87354,144.38503
-268.17874,-1740.4526,119.44518
-198.33145,-2140.629,135.99625
-172.00926,734.44183,97.223465
-213.94885,560.6529,100.932144
-152.73016,-1853.9387,145.51363
146.95776,1272.3151,140.21202
-178.38544,-848.0679,129.19876
-88.680885,-527.9486,151.6672
-48.9023,-374.1995,147.64795
-120.55083,-181.45131,140.1015
24.563414,2291.2214,131.18251
-272.9489,-943.97327,123.57481
-211.38475,-1721.0295,117.74291
-21.820833,339.03885,137.43373
-172.7131,-743.39575,145.53636
49.642174,478.16956,150.05833
23.304417,-201.77785,144.76662
234.12035,2770.2168,110.29674
-163.7444,-119.31863,119.797874
59.409508,236.19133,155.55856
-36.763386,2795.4595,79.02342
-120.25441,-747.7883,141.94913
-4.3752413,831.6408,155.54521
-191.15944,-305.46,117.89199
172.97858,1036.1938,152.79083
-194.24203,-200.88173,128.09103
-148.88657,1293.1068,117.702866
156.78532,2373.5933,125.109535
-75.846146,-2128.5789,161.64853
-12.1948805,772.7562,138.58635
-127.30716,-1842.0859,157.62698
-243.04814,291.95084,103.42949
3.9520454,1919.1959,112.60179
-103.61,-1652.5239,149.27855
-337.65533,-1767.5681,116.88781
337.39597,1505.0541,122.79133
-229.78477,987.1125,116.70209
107.19312,-643.4696,164.34155
-272.9065,-3746.7346,146.6172
-121.17732,-0.57820857,126.08171
-171.36938,268.69363,117.73672
-155.6357,320.63406,86.913795
-123.46297,912.0749,108.69987
-23.205797,1455.0115,139.7215
-295.2809,-1149.3154,128.37177
-29.452604,2049.915,113.478386
-61.245213,-1260.3953,135.66156
-208.24968,-1002.0261,126.191696
-53.428616,65.69157,150.0344
136.37444,2040.6935,122.98504
-100.66513,-879.3368,139.51703
-366.8293,-473.58963,99.302986
-166.10175,-406.1248,121.45084
58.75225,3684.462,88.03075
-212.9541,-2825.4656,137.02707
182.54002,2834.6094,108.42601
-122.35281,1793.9657,117.72909
-13.2514715,771.65735,138.05809
-90.00273,348.0367,144.90285
48.003185,1184.2987,128.8699
-299.70197,-1584.388,127.93336
-475.816,-2593.0198,114.16303
-194.98277,151.11143,117.37315
132.73181,172.1516,145.95908
-166.51508,-2111.9668,152.52635
6.2468348,-1144.8779,157.75664
-216.25717,-2172.3171,138.23065
-263.17227,1017.0098,115.63277
141.00049,-869.1643,165.00758
-314.33765,-231.60268,127.65515
-85.240524,297.77713,131.06786
298.5223,4075.0735,125.00422
11.980869,-118.45223,149.03003
-384.7144,-2822.329,125.670265
-42.535156,159.42766,133.73265
21.0225,2376.4795,115.8779
6.550374,-580.6704,133.46745
-244.48872,-1463.5149,142.23946
-84.3241,-599.88696,153.20125
-293.64465,-1161.5151,106.26451
-124.55783,-2385.0618,135.99242
-107.35712,-1111.2375,148.99307
-222.29028,-817.95325,120.9341
-416.10974,-1932.0503,122.317635
-15.405311,1829.3208,139.29405
-151.19833,-2132.9062,148.14207
73.36908,1815.2935,148.08669
-39.53206,-53.65737,118.94611
-184.37065,-2754.9695,142.2652
-289.27582,-425.55606,125.114494
-325.98904,-1046.4193,103.8154
-44.793694,-205.45705,141.43405
-281.87067,-2742.5923,123.96831
-118.47424,313.33084,120.06645
9.739663,-588.13025,155.79465
-104.40681,-394.97452,122.372536
-44.519928,2117.4844,89.81316
-71.02216,1487.9155,99.77821
-13.012403,981.3721,119.59315
-1.0141535,-881.6742,134.93274
55.79266,1621.7832,124.33436
-120.94623,653.75665,104.92546
119.57781,1559.4524,151.69466
53.021046,-234.33632,133.58574
-38.002026,2911.5542,80.85522
-99.5551,-1167.2664,155.96469
-55.070118,-1152.6841,151.21614
-56.22646,-1822.81,143.08408
46.291912,-645.7761,148.15991
-259.68375,550.0922,94.54181
-177.94041,-342.9208,122.58685
-149.24648,-1556.3809,142.55266
50.491238,1058.4747,129.03752
-153.38145,-120.77175,114.17896
21.238705,937.35,118.863495
-265.99387,-3423.3582,131.7179
-256.62305,1107.1876,89.94898
-128.56342,750.6701,120.45627
-223.45264,-2472.553,134.39084
-222.90678,1126.7982,90.44591
88.73867,636.72577,115.650856
-41.29218,585.81836,132.78099
