FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
1.5385847,195.17365,123.03722
1.8200725,1033.3113,131.45056
1.968231,1646.0244,132.33458
5.7602425,1000.2234,126.5407
1.2581941,628.2185,128.9118
5.6103067,468.3464,126.15198
2.0227704,1232.2405,133.21768
1.8997767,1709.0448,128.47948
5.282999,553.293,123.972244
91.44249,2728.2676,129.70718
18.00888,2334.596,130.6447
1.1682996,668.4252,121.23741
1.6681832,380.6888,130.85974
20.41749,995.1344,132.61423
3.0441966,664.602,127.624306
23.655043,1523.8162,126.1171
1.9031966,542.021,125.40831
6.127825,101.792885,122.7446
6.931211,1234.8749,123.86333
4.0923047,913.6008,124.3041
3.5632358,1962.609,129.19414
2.3685582,314.75803,121.08121
0.67563957,504.55093,121.82853
56.81026,513.64526,123.7544
2.120935,817.80975,126.56514
3.2926688,2641.309,133.57964
94.210495,2070.3274,127.349075
3.2636838,1047.7106,132.5676
2.9547172,1818.4148,130.5964
2.282397,1088.6304,129.32968
6.653885,324.1417,117.91024
1.3991116,626.7584,127.517296
164.51126,925.6083,135.41797
2.2800648,1127.524,129.24733
2.5166457,115.4186,120.22149
1.7111046,640.64685,128.93976
2.328358,2224.1514,128.15923
4.7432847,111.69322,127.633255
1.9910536,2483.8145,131.38303
1.9266742,1777.5698,132.32594
4.240981,700.42773,132.68353
2.1381605,735.7905,130.17511
4.214443,1262.749,128.74629
7.182909,1418.6309,134.49113
20.838585,959.9813,129.59213
2.2720604,2145.77,131.12828
46.05549,1069.3613,134.23619
27.854202,316.238,129.2962
14.46015,1318.4875,131.0974
11.749651,2382.4229,129.44106
39.730236,962.82983,128.0811
2.8700907,694.52264,126.212906
1.993363,442.7619,126.80335
1.1970806,864.12103,121.37764
30.481243,596.43066,127.87135
1.1706871,719.85065,123.26798
2.8263378,744.1735,127.23817
1.4114879,947.746,123.02049
1.6179742,909.3537,124.87746
4.0983133,214.80011,122.47184
1.126941,366.36673,125.94604
1.3787174,198.64842,126.53287
1.2695285,929.6361,127.36339
