FSO_Attenuation_Visibility_dB,FSO_Attenuation_Cloud_Model_dB,RF_Total_Attenuation_dB
-51.53275,-738.27075,147.98936
-556.8553,-8059.4565,114.09187
1.1644278,139.14262,165.56078
-85.106316,-2193.7327,131.68987
-138.13657,-2538.321,109.56817
-126.33145,-2949.1106,115.919655
-169.81665,-1212.6609,151.80846
-168.7775,-2054.5,127.15023
-345.64398,-4741.565,120.27757
-96.36513,43.33854,163.17392
-98.52241,-469.25076,137.83919
65.95239,-1624.0354,133.17726
19.637394,-350.44437,149.432
26.999094,716.23267,169.66556
-21.615294,364.69125,145.23097
1.2027254,-5736.745,135.33885
41.398277,1363.1987,147.55708
-286.49136,-3720.0715,137.5293
-182.23,-3360.451,131.64085
-178.19035,-963.9635,134.08975
45.54091,773.1391,153.24158
-330.8558,-4463.733,108.89993
-760.10187,-9423.083,124.72663
35.298416,-955.0831,127.00885
-249.91515,-2744.4485,130.10173
31.213848,-1014.9501,130.76338
-133.95692,-3268.9534,135.81732
-841.5908,-11965.01,99.25969
-229.20937,-4522.678,108.24308
-197.57652,-3552.6711,124.12449
-290.24414,-3449.8254,120.27372
-199.75037,-3468.5686,111.55158
144.75346,-989.1404,148.41853
-126.26558,-1516.2644,149.02663
-143.51949,-3750.1257,132.05017
-5.943225,-3339.7083,131.53345
-324.87152,-7022.691,104.79658
-422.27756,-5935.4307,105.22753
20.31317,-453.4346,162.88213
-197.1366,-5649.6553,112.105
-51.621365,-47.260094,163.51315
58.16259,-292.6564,159.12315
-225.82657,-5158.591,106.53091
24.842216,222.06297,126.99084
-43.179794,-2251.138,129.9171
-182.59799,-2873.9893,143.98395
52.313644,-640.0718,147.04457
-26.70352,-387.18497,143.45824
-252.47505,-3671.7708,145.77031
47.026463,726.4713,149.64545
-15.733575,-1401.386,146.89566
-89.22444,-3215.113,119.695076
-62.906498,244.91167,138.43814
-503.17996,-9230.895,130.53925
-462.46423,-6914.155,119.8366
-34.10221,-1678.563,148.98497
-196.4141,-3210.4016,141.71074
-275.53107,-3294.6194,128.64223
-347.04248,-3911.2527,127.98381
-87.21384,-1448.9038,141.82333
-113.08675,-1842.3796,128.15445
